倩女幽魂手游科举答题器 科举答案大全_蚕豆网新闻
科举答案大全

2500、在明朝科举制度中，一甲进士称：|赐进士及第

3168、纣王是中国_朝的末代君主：|商

3169、下列技能中属于姥姥的技能特点是：|变猪 将玩家抓到身边

3170、书法不仅是一门艺术，更被近代的武侠小说家频频借用来作为一门独特的武功。请问下列哪位不使用书法武功?|宋青书

3171、水浒中，被称为催命判官的是：|李立

3172、皮蛋(松花蛋)制作过程中，使蛋清和蛋黄的颜色发生变化的物质是：|硫化物

3173、古代，吐蕃的首领一般被称为：|赞普

3174、我国内流河中，最长的是：|塔里木河

3175、唐太宗李世民为了纪念和他一起打天下治天下的功臣，修建凌烟阁，史称凌烟阁二十四功臣。请问功臣之首是以下哪一位?|长孙无忌

3176、我国古代广为采用的图书分类法是将书籍按内容体例分为经，史，子，集，请问最早确定这四部的名称及顺序的是哪部史料?|隋书•经籍志

3177、请问在帮会中金凤堂的任务性质是什么?|商会，为帮会积累资金

3178、一年有24个节气，而我国又将五天称为一侯，三侯为一节气，下面列举的春分所属的三侯错误的为?|桃始华

3179、陕西乾陵的无字碑，是哪位皇帝的功德碑?|武则天

3180、一千零一夜又名天方夜谭，这里的天方是指?|古代阿拉伯

3181、以下哪一首不是诗经中有其义而亡其辞的篇目?|苤苡

3182、我国历史上有过许多数学家，他们取得的成就甚至领先西方多年，其中首创割圆术来计算圆周率近似值的是?|刘徽

3183、下面哪个诗人没有因为做官所在地而获得的别号?|温庭筠

3184、在历史上，台州确有一城在诸多抗倭名将的带领下，抵御倭寇，保卫国土，请问此城名为?|桃渚古城

3185、破军城名出自奇门遁甲，五行八卦之术，其中八卦代表八种基本物象，艮卦代表的是?|山 地

3186、请问下列哪一个是鬼谷子一书的别名?|捭阖策

3187、以下四人中与其他三人没有血缘关系的是?|苏小小

3188、突厥语言属于下列哪一种语系?|阿尔泰语系

3189、形容人的琴艺高超，常有余音绕梁，三日不绝之称，其语源于下列哪部著作中的故事?|列子

3190、在游戏中，戒指手镯多以美人命名，请问下列哪个美人与毛嫱之顾盼中的美人毛嫱同时期?|西施

3191、生死一知己，成败两妇人此对联是形容哪位历史名人?|韩信

3192、游戏中紫冰的名称其实取自禅家佛祖名，从始祖达摩、二祖慧哥、三祖僧璨、四祖道信到五祖弘忍，那么禅宗六祖名为?|慧能

3193、如果一位方士想打造自己的附体灵兽，那么以下技能中，哪项对他完全无用?|霹雳•通(破盾)

3194、中华文明，上下五千年，如据此论，我们大中华的文明史最早可以追溯到?|炎帝和黄帝时期

3195、明代是传奇戏曲的繁盛时期，请问明代传奇的四大声腔不包括下列哪一个?|黄梅腔

3196、封神中，灵魂被封为五岳之一的是：|黄飞虎

3197、古代海上丝绸之路起点在哪里?|泉州

3198、阿弥陀佛、卢舍那佛、弥勒佛依次被称为：|三方，三身，三世

3199、暄鸟覆春州，杂英满芳甸是下列哪位诗人的名句：|谢眺

3200、具有兼爱，非攻，尚贤，尚同主张的是春秋战国时期的：|墨家

3201、魏忠贤是下列哪一位皇帝在位时著名的宦官?|明熹宗

3202、女娲炼石补天处，石破天惊逗秋雨形容的是哪种乐器的演奏效果：|箜篌

3203、灵砂亦名二气砂，主冶伏热吐泻，其主要是由：|水银、硫磺合炼而成

3204、相传，下列哪一位统领的时代处在农耕高度发展期?|舜

3205、放置很久的红薯吃起来总是比新挖出土的甜，这是什么原因呢?|红薯中的淀粉水解成了糖

3206、中医中，常用金木水火土五行代表五脏。请问，与肝相对的是?|木

3207、佛郎机炮是15世纪后期至16世纪初期流行于欧洲的一种火炮。火炮名字得来于明朝称这个国家为佛郎机，请问这个国家是?|葡萄牙

3208、道教中三清的说法始于六朝，此时是指三清境，即太清境、玉清境和上清境，分为三位大神居住，请问这三位大神分别是?|神宝-天宝-灵宝

3209、古人云：有物混成，先天地生，惟象无形，窈窈冥冥，寂寥淡漠，不闻其声，吾强为之名，字之曰_。|道

3210、父子反目，手足相残，古来帝王史中骨肉相煎血流成河之事不胜枚举，在走上皇位的帝王中，以下哪位不是谋权篡位的?|李旦

3211、齐威王和魏惠王赛宝，齐王以能臣为国宝，令惠王羞愧。请问这个典故中，惠王以什么为国宝?|夜明珠

3212、沈括的梦溪笔谈中就有烹胆矾则成铜的记载。这是哪种化学反应?|置换

3213、归田园居的作者是：|陶渊明

3214、属于反映四季变化的节气共有：|八个

3215、元朝关汉卿的窦娥冤是中国十大悲剧之一的传统剧目。在窦娥被押赴刑场时，对天发下三桩誓愿，其中不属于三大愿的是：|江水倒流

3216、在倩女中，有一种装备叫翟让之寒光匕。请问翟让是下列哪一支义军的领袖?|瓦岗军

3217、孟婆在古代传说中是专司掌管将生魂抹去记忆的阴使，有一种说法是她原本为天界的一个散官，这种说法最早出现在何种典籍中?|道家

3218、著名的东三省是位于下列哪一关以东：|山海关

3219、在明朝著名的宁远之战中，明军重伤了清军的主要将领：|努尔哈赤

3220、唐朝大诗人王维的名诗-渭城朝雨邑轻尘，客舍青青柳色新，劝君更尽一杯酒，西出阳关无故人。此名句中的阳关在今：|甘肃省

3221、五台山是我国四大佛教名山之一，曾经名为五峰山，五座山峰的台顶各建一座寺院供奉文殊菩萨，那么为何要在此供奉文殊菩萨呢?|发现了一块大青石，解暑春秋战国时有很多关于盗跖的记录，他是比斯巴达克斯更早的奴隶起义英雄，以下有关他所说的盗亦有道错误的是：|盗之道有五：仁义礼智信

3222、中医学概念中的气是指?|构成人体和维持人体生命活动的最基本物质

3223、汉代传授诗经的四家诗指的是哪四家?|韩 鲁 齐 毛

3224、吕不韦属于下列诸子中的哪一家?|杂家

3225、分明怨恨曲中论的上半句是：|千载琵琶作胡语

3226、在古代皇室，大长公主的称谓指的是皇帝的：|姑母

3227、我国的河北省简称：|冀

3228、某地元宵灯夜繁华，自古就可以和京都灯会相媲美。白居易曾写过：灯火家家市，箫笙处处楼。请问这个是形容哪个城市的灯市?|杭州

3229、五行是中国古代的一种物质观，多用于哲学，中医学和占卜方面。请问下列说法正确的一项是：|火克金，金生水

3230、五柳先生传的作者是：|陶渊明

3231、封神演中，申公豹被元始天尊用什么捉到：|捆仙绳

3232、著名花鸟画-苍梧图的画家是：|袁倩

3233、武夷山景区属典型的丹霞地貌，素有碧水丹山，奇秀甲东南之美誉。它亦是。下列不属于武夷山景区的景点是：|玉泉院

3234、根据本草纲目的记载，下面哪种动物可以用来治疗破伤风?|老鼠

3235、闲来垂钓碧溪上的下半句是：|忽复乘舟梦日边

3236、历史上著名的撞钟焚香事件中，利用宗教宣传鼓动起义的女性是：|陈硕贞

3237、张三丰在何时创立了武当派?|明朝

3238、南北朝时期骈赋，骈文成就最高的作家是：|庾信

3239、佛说无量义经后，入无量义处三昧，天上降下种种妙华，佛的眉间白毫放大光明。请问这是哪本佛教经书中的内容?|净土诸经 法华经

3240、中国围棋中，棋盘上的线是什么颜色的?|黑色

3241、在倩女游戏中，很多剧情BOSS都有特殊的技能，下列技能中属于牛头马面的技能特点是：|互相复活

3242、明代时私自使用下列哪种油漆惩罚最重?|笼罩漆

3243、胡燕窠土，就是屋梁上构成胡燕窝的土。燕子选土，既粘又细，其中还加了燕子的唾液，能作药用。请问应该如何使用胡燕窠土来治疗口角烂疮?|用燕窠土敷

3244、魏晋风流也称作魏晋风度，为文化史上的专有名词，风度原是魏晋时用来品评人物的词语。请问以下不属于魏晋风流的名人是?|八大山人

3245、惟有饮者留其名的上半句是：|古来圣贤皆寂寞

3246、春秋时，齐桓公为了称霸提出的口号是：|尊王攘夷

3247、古小说中常有午时三刻开斩一说，意即在午时三刻钟(差十五分钟至正午)时开刀问斩。关于此以下说法不正确的是?|在皇城午门被斩，故选在午时大唐三百年，素有前称房杜，后称姚宋之说。这里的姚宋指的是：|姚崇，宋景

3248、一夫当关，万夫莫开出自：|蜀道难

3249、史书记载，奄国(今山东曲阜)曾随武庚叛周。平叛后，周成王封周公长子伯禽于奄国，称鲁国，并辖殷民六族。殷民是指：|商代遗民

3250、有个天平秤，一边放一个秤砣，另一边放一杯水，此时天平秤平衡了。这时把一个手指伸进水杯充分接触水，但不触及杯子，这时：|秤向水杯这边倾斜

3251、在倩女游戏中，有些技能使用后对自身有利又有弊，下列技能中不属于的是?|轩辕•守

3252、何日平胡虏的下半句是：|良人罢远征

3253、唐代著名的山水田园诗歌颂田园生活，多以农村景物和农民等劳动为题材。请问下列田园诗与作者对应不正确的一项是：|韦应物-鸟鸣涧

3254、人生不相见的下半句是：|动如参与商

3255、当今普通话的四声中已没有下面哪个声调?|入声

3256、明朝初期，工业发达的四大名镇指的是下列哪四座镇?|朱仙，景德，佛山，汉口

3257、技能等级的提升，一般都会在加强该技能的某些方面的效果，以下对于技能升级后效果描述错误的是?|换巢鸾凤-对换状态的个数

3258、保存寓言最多的诸子散文是：|墨子 孟子 韩非子

3259、名家取名善用诗词，古龙-萧十一郎取自侯门一入深如海，从此萧郎是路人，西门吹雪-剑吹白雪妖邪灭，那么叶孤城的名字取自哪位唐人的著名诗句?|王之涣

3260、尿遁，后比喻以荒唐的借口逃避责任，这个词原出自哪个境况之时?|刘邦于鸿门宴时

3261、我国四大发明之一造纸术的发明者是：|蔡伦

3262、西游中，猪八戒的兵器是：|九齿钉钯

3263、三国志中关于曹操哭的记载为数不多，其中一哭的是其宿敌旧友，从小一块长大的发小。以下最有可能的是：|袁绍

3264、中国唐朝，孔颖达就提出了若云薄漏日，日照雨滴则虹生，描述的是光线的什么特性?|色散

3265、伤寒杂病论的作者是：|张仲景

3266、具有越陈越香的独特品质的茶是：|普洱茶

3267、著名古曲阳关三叠是用了下列哪一位诗人的诗作：|王维

3268、曹操最喜爱的儿子早薨，曹操便下聘已死的甄小姐做为儿子的妻子，把他们合葬在一起。请问是曹操的哪位儿子：|曹冲

3269、罗浮山下四时春，卢橘杨梅次第新，日啖荔枝三百颗，不辞长作岭南人。苏轼的这首诗中提到了岭南的几种水果，卢橘是我国特有水果，请问它其

3270、实是?|枇杷

3271、传说中，后羿共射去：|九个太阳

3272、寂寞身后事的上半句是：|千秋万岁名

3273、古人用父母教，须敬听。父母责，须顺承。来劝谕人们要尊敬父母，这句话出自?|弟子规

3274、金庸著名的射雕三部曲的第二部小说神雕侠侣最终章的华山论剑中，评选了天下五绝：东邪西狂南僧北侠中顽童。请问其中的西狂指的是：|杨过

3275、红豆生南国，春来发几枝的作者是：|王维

3276、游褒禅山记的作者是：|王安石

3277、古代诗人通常都有一个别称，请问以下别称和诗人对应不正确的是?|诗家天子-贾岛

3278、汉赋家杨雄云：锦布绣望，芒芒兮无幅，这是用来形容哪一种精美的丝绣?|蜀绣

3279、词人温庭筠的筠字的同音字是：|均

3280、七次下西洋的民族英雄郑和，他是哪一族人?|回族

3281、少数民族都有自己看重的数字，请问以下少数民族和神圣数字不对应的是：|布依族-12 哈萨克族-40

3282、八珍是指中国古代八种珍贵的食品，陶宗仪的南村辍耕录一书中就有相应的记载，请问下列食品中不属于八珍的是：|琼浆液

3283、在倩女游戏中，有些技能使用后造成伤害的同时且附带负面效果，下列技能中不属于的是?|雷动九天 冥凤临世 群魔乱舞

3284、韩碑的作者是：|李商隐

3285、北宋末年著名的农民起义领袖方腊，起义时自称：|圣公

3286、相传唐玄宗曾两次在此遇见太上老君降临的地点是?|骊山老君殿

3287、白居易诗：百千家似围棋局，十二街如种菜畦。描述称赞的是?|唐朝都城长安

3288、金庸的著名武侠小说倚天屠龙记中，男主角张无忌有着几段缠绵悱恻的爱情故事。请问张无忌与赵敏第一次相遇在：|绿柳山庄

3289、野旷天_树，江清月近人：|低

3290、汉朝通用的字体是：|隶书

3291、诗经-小雅中被后人称为为笙诗的是：|白华

3292、西游中，孙悟空在第一次天界招安中被封为：|弼马温

3293、西洋参虽然是中药，原产地却是外国，请问它的原产地是哪里?|美国

3294、远上寒山石径斜中的斜字的同音字是：|霞

3295、我国久负盛名的四大名楼中，建造时间最晚的是哪一座?|蓬莱阁

3296、北朝民歌中最杰出的长篇叙事诗是：|木兰诗

3297、下列技能中属于毒属性的群攻击技能的是：|茴香透骨

3298、八旗制由努尔哈赤创立，其早期特点是：|兵民合一，出则为兵，入则为民

3299、道士为何被称作牛鼻子?|道士梳鬓高起如牛鼻

3300、登高壮观天地间，大江茫茫去不还的作者是：|李白

3301、在徐霞客游记中，记载有：竹林为匡庐即庐山幻境，可望不可即。即坞中景亦如海上三山，何论竹林。这里的三山指的是：|蓬莱，方丈，瀛洲三神山

3302、下列哪位不是道教中的东方七宿：|井

3303、白居易有名句云：绿蚁新醅酒，红泥小火炉。请问诗中绿蚁其实是指?|新酿之酒泛起的泡沫，细得像蚂蚁

3304、道德经，传说是春秋时期的老子李耳所撰写，是道家哲学思想的重要来源。道德经分为德经，道经两篇。请问德经的第一句话为?|上德不德，是

3305、以有德，下德不失德，是以无德

3306、人间词话是著名国学大师王国维所著的一部文学批评著作，它提出了境界说。第一境界：昨夜西风凋碧树，独上高楼，望尽天涯路。是出自：|曼殊-蝶恋花

3307、韩非子所著的显学中提到：脂泽粉黛。脂用以染辰，粉用以敷面，黛用以画眉，那么泽指的是怎样的化妆品呢?|用以涂在头发上的香膏

3308、荀子-劝学篇有:青，取之于蓝而胜于蓝一句。其中青和蓝分别指的是：|染料，植物

3309、天生我材必有用的下半句是：|千金散尽还复来

3310、下列对于忘川69级BOSS孟婆描述正确的是：|会四灵护体，可被医师的光攻击去除

3311、下列著名诗词中，完全没有错误的一项是：|何日平胡虏，良人罢远征

3312、三军的说法最早起源于春秋时期，它的本义是指?|三支固定建制的军队

3313、有一种技能可以使用后可以让玩家回到自己的门派，下列技能中不属于该种技能的是：|御风行

3314、西游中，下列哪一项不是取经途中遇到的国家：|四面国

3315、下列哪一项标志着明王朝被推翻：|崇祯帝自杀

3316、著名的四羊方尊是盛酒祭祀的一种_器皿：|青铜

3317、把槟榔作为待客，订婚不可缺少的佳品的少数民族是：|黎族

3318、在倩女游戏中，有些技能可以移除目标身上的某些有害BUFF，请问以下不属于此类技能的是?|牵牛益母

3319、红花石蒜，恶魔的温柔。传说中自愿投入地狱的花朵。请问此花别名不正确的选项是?|荼蘼花

3320、中国第二大河黄河的源头在：|巴颜克拉山脉

3321、凡是出家当和尚的人都要剃光头发，这在佛教中叫做剃度。和尚剃发有三重含义，以下不正确的是?|去除奢靡的重外表的习气

3322、远古神话中，女娲采用了哪种石补天?|五色石

3323、徐昭佩是南朝梁元帝萧绎的偏妃，游戏中也有一款109级的极品戒指以她命名。诗云：休夸此地分天下，只得徐妃半面妆。这半面妆的典故出自：|徐妃在讽刺萧绎独眼

3324、张衡是我国东汉时期伟大的天文学家，为我国天文学的发展作出了不可磨灭的贡献。他发明了著名的浑天仪等多种仪器。他被后世的人们称之为：|科圣

3325、中国象棋中，棋盘上共有几个交叉点?|90

3326、水浒中，石秀的外号是：|拼命三郎

3327、志士幽人莫怨嗟，古来材大难为用的作者是：|杜甫

3328、五福临门中的五福是什么意思?|指长寿，富贵，康宁，好德，善终

3329、浙江的道地药材很多，但其中以浙八味最为有名，下列药材中，不全属于浙八味的是?|笕麦冬，龙井茶

3330、下列不属于南京旅游景点的是：|云栖竹径

3331、为焦仲卿妻作：初七及下九，嬉戏莫相忘。下九日为汉代妇女欢聚的日子。请问下九日是指?|农历每个月的十九

3332、围魏救赵的典故出自战国时期齐国与魏国之间的一场战役，这一场战役是：|桂陵之战

3333、下列哪一位是淝水之战中前秦的统帅：|苻坚

3334、自古至今，许多人为求长生而炼丹问药。下列哪个皇帝的死亡完全与所谓仙丹无关?|明太祖

3335、诗将进酒的作者是：|李白

3336、温瑞安的四大名捕中四大名捕的师傅叫诸葛小花，而诸葛小花的师傅叫什么?|韦青青青

3337、动物血液的颜色不尽相同，请问龙虾血液的颜色是?|蓝色

3338、刀客的70级绝技为狡兔三窟，此成语出自下列哪个历史人物?|齐国的孟尝君

3339、游戏中有一异人面具名为兰陵王之恨美颜，兰陵王以骁勇善战和俊美容颜著名，请问他是哪个时期的人?|北齐

3340、下面哪位青天曾上书治安疏?|海瑞

3341、东床快婿这个故事是说太尉选女婿时，没有选那些拘谨的人而是选了一个听到此消息在东边床上敝开衣襟的人做女婿。请问这个人是?|王羲之

3342、倩女第四个主城为京城，又名顺天府，但是明朝初期都城则是在应天府，迁都是由以下哪位皇帝完成的?|朱棣

3343、滚滚长江东流水，浪花淘尽英雄。是非成败转头空，青山依旧在，几度夕阳红。这首词的作者是?|杨慎

3344、我国古代皇朝有以五行承运的五德一说，每个朝代都有相对应的一种五行来代表它的德运，如秦朝是水备，唐朝是土德。那么请问汉朝是?|土德

3345、明朝曾发生一场大爆炸，至今仍是世界谜团之一，请问这场爆炸发生在哪个朝代?|天启

3346、北京城前身为元大都，营建时曾按照九经九纬，前朝后市，左祖右社设计。请问明朝攻陷元大都的将军是哪位?|徐达

3347、明朝三大才子评选标准是博览群书，博学多才，请问下列哪人不属于三大才子之一?|唐寅

3348、三国中蜀国有勇猛无双的五虎上将，而魏国有五子良将，请问下列不属于五子良将的是?|夏侯渊

3349、僧一行在哪座寺庙前留下了一行到此水西流的佳话?|国清寺

3350、不动明王是佛教五大明王之一，其中不动的含义是?|慈悲心坚固，无可撼动 临危不惧，毫不动摇

3351、一个医师在打附体技能时，想选择增加自身双防，法术躲避，格挡的技能，那么她应该用以下哪只灵兽做附体灵兽?|精力，敏捷高

3352、京杭大运河是隋炀帝时开凿的沟通南北的运河，而秦时人们开凿沟通湘江和漓江的运河是?|灵渠

3353、东边日出西边雨，请问天气变化的主推动力是什么呢?|太阳

3354、安能摧眉折腰事权贵，使我不得开心颜名句出自哪部作品?|梦游天姆吟留别

3355、八卦分为先后天，后天八卦也就是文王八卦中，离代表什么?|中女

3356、传说中农业和医药的发明者是：|神农

3357、古代文学作品中有大量的借代，请问以下名词与其借代的本义不符合的一项是?|南冠-帝王

3358、我国共有几个民族?|56

3359、芳草萋萋鹦鹉洲的上半句是：|晴川历历汉阳树

3360、第一个为少数民族立传的作家是：|司马迁-史记

3361、杜甫-望岳一诗中，描写泰山神奇秀美，雄伟高峻的句子是：|造化钟神秀，阴阳割昏晓

3362、金朝最后的一个皇帝是：|完颜承麟

3363、一物陆地长，一物水中生，姓异治同病，共唤一个名，打两个中药名?|草决明，石决明

3364、吕公车是古代一种巨型攻城战车，通常车高数丈，长数十丈，车内可载武士数百名，这种笨重攻城器械可能的驱动方式是：|其它答案都正确

3365、十二因缘是释迦摩尼自修自证得到的真理，是从_到老死这一过程的十二个环节，因缘相随。|无明

3366、祁红茶产于：|祁门

3367、游戏中，有种技能可以增加治疗效果，下列技能中属于这类技能的是：|广木香

3368、道教典籍的总汇是：|道藏

3369、我们写金额票据时要写上大写数字，有关这个规定的起源，要追溯到一件重大贪污案。请问这是哪个朝代的法令?|明初

3370、历史上著名的郾城大捷中，岳飞打败了下列哪位金朝的统帅：|金兀术

3371、以梁山好汉为题材的古典小说水浒传里，生辰纲是下列哪位送给大臣蔡京祝寿的礼物：|梁中书

3372、汾酒，清香型白酒的典型代表，素以入口绵，落口甜，饮后余香，回味悠长特色而著称，请问此酒是何处的特产?|山西

3373、请问下列哪一部不是四大名捕系列中真正存在的作品?|四大名捕斗奸相

3374、十年一觉扬州梦中的觉字的同音字是：|叫

3375、春秋时代的第一个霸主是：|齐桓公

3376、著名散文短篇陋室铭的作者是：|刘禹锡

3377、游戏中有个布帽叫荷叶巾，此帽在戏曲表演中比较常见，顶方，上有檐，似荷叶覆盖，以缎绣花者为多，请问这种帽子特定为什么角色佩戴?|丑角

3378、自古以来，淮盐汇总地在：|扬州

3379、中国古代不仅有许多妇孺皆知的美女，亦有不少为人称道的美男。请问下列哪位不仅不能称为外貌英俊，反以外貌丑陋但才华卓绝而著称?|晏婴

3380、诗溪居的作者是：|柳宗元

3381、在书法史上，以颠狂醉态将草书表现书法的是：|张旭

3382、由玄奘口述西行见闻，由弟子辩机辑录成的书是：|大唐西域记

3383、八月指的是：|酉

3384、前四史不包括下列哪一项?|吕氏春秋

3385、游戏中，异人有个技能叫移商换羽，这本是一个成语，本指乐曲换调，商、羽均为古代乐曲五音中之音调名，请问羽指的是：|五声音阶中的6

3386、三国中，刘备的兵器是：|双股剑

3387、以下哪一本不属于春秋战国时期的诸子散文名著：|刘子

3388、千呼万唤始出来，犹抱琵琶半遮面的作者是：|白居易

3389、下列技能中属于门派闯关BOSS袁崇焕的技能特点是?|会释放青龙-灭

3390、这位书法家字伯机，号困学山民，寄直老人。他与赵孟頫齐名，同被誉为元代书坛巨擘，并称二妙。请问这位著名书法家是：|鲜于枢

3391、中国一直是医药学大国，从远古时代就有很多关于药的记载，下面物品中不是毒药的是哪个?|白蒺荼

3392、旧时王谢堂前燕，飞入寻常百姓家咏叹的是：|金陵

3393、名画-清明上河图，作者张择端完成后首先将它献给了哪一位书画爱好者?|宋徽宗

3394、三国中，关羽过五关斩六将中，斩杀秦琪是在哪一关?|黄河渡口

3395、诗渔翁的作者是：|柳宗元

3396、二十四桥明月夜的下半句是：|玉人何处教吹箫

3397、中药的命名方式极多，总的倾向是偏重于形象化，于是出现了许多名实相异的药名趣闻。请问以下四种药材中，哪种是植物药材?|胡王使者

3398、铁观音茶产于：|安溪

3399、_跪乳，_反哺，人之情，孝父母，父母教，须静听，父母责，须敬承，身有伤，贻亲忧，德有伤，贻亲羞。|羊-鸦

3400、剑桥中国史-辽西夏金元史一书中写道：北京和杭州两方的皇帝当然都认为自己是君临中国世界的真正统治者。此段材料体现的历史背景是?|南宋

3401、与元并立

3402、诗游子吟的作者是：|孟郊

3403、曹操曾在渭河，被马超韩遂联军打的割须弃袍，最后听从谋士贾诩之计获得这场战役的胜利。请问贾诩的计策是?|反间计

3404、战国时期，连横政策的代表人物是：|张仪

3405、瑞雪兆丰年是一句流传比较广的农谚，其原理是：|抵御寒流

3406、以下哪位明朝将领并非以抗倭功绩著称?|熊廷弼

3407、中国古代，学术思想开放，学说流派代表创建众多，各家各具特色，其中以手工业者为主的下层百姓利益的百家学说的是：|墨家学说

3408、我国民间有种说法叫做水缸穿裙子，天就要下雨。请问这一现象对应的原理是：|是水蒸气的液化现象

3409、新年将近，请问以下少数民族的新年习俗不正确的是：|侗族吃鱼 仫族泡花糖水 鄂伦春族吃两小时的饭

3410、易容术，在武侠高手的纯熟运用下，成为江湖上的传说。以下几位都是易容高手，但并未扮过异性的是?|黛绮丝

3411、在游戏中，有些技能配合使用后伤害加成，下列技能中不属于的是?|续毒和流火

3412、炉火纯青源于青铜兵器铸造的熔炼阶段，表示熔炼成功，喻意功夫纯熟。现已知青铜合金的主要材料是铜，锡和硫化物等，请问青气出现在：|铜熔化时

3413、在历史上，石刻文产生于_，兴盛于_：|周代，秦代

3414、西湖龙井茶的狮龙云虎梅是指：|茶的品第排列

3415、我国的江苏省简称：|苏

3416、我国最早的指南针是：|战国的司南

3417、诗经中的雅指的是：|正声雅乐

3418、在游戏中，每一种元素攻击都有自己的特点，属于电属性攻击技能特点的是：|附带闪电链

3419、以下农产品均为外国引进，但不属于明朝引进的农产品是?|胡椒

3420、中国古代十大酒局中，醉打金枝讲述了谁的故事：|郭暧

3421、我国主要的沙漠地区分布在：|我国北部

3422、北魏孝文帝是下列哪一族人?|鲜卑族

3423、诗经-小雅-小苑的诗句：螟蛉有子，蜾赢负之。直到南北朝时期的道教思想家，医药学家_经过观察，才发现螟蛉幼虫其实是把蜾赢当做幼虫食物而已。|陶弘景

3424、万里归心对月明的上半句是：|三湘衰鬓逢秋色

3425、清代著名的大才子吴伟业，以陈圆圆的故事作为素材撰写的长诗题目是：|圆圆曲

3426、请问下列哪个成语的来源典故与绘画无关：|锦上添花 叶公好龙 画蛇添足

3427、太上老君，全称一气化三清太清居火赤天仙登太清境玄气所成日神宝君道德天尊混元上帝，简称老君。传说中的道教教主，请问他为三清的第几位?|第三位

3428、万里悲秋常作客的下半句是：|百年多病独登台

3429、念天地之悠悠的下半句是：|独怆然而涕下

3430、成语萧规曹随中的曹指的是：|曹参

3431、中国历史上，最后实行人殉制度的朝代是：|明朝

3432、诗句姑苏城外寒山寺，夜半钟声到客船出自：|枫桥夜泊

3433、金华酥饼色泽金黄，香脆可口，是浙江省金华著名点心，请问金华酥饼的首创者是哪位?|程咬金

3434、一夫当关，万夫莫开形容地势险要，易守难攻，这句话所指的地理位置是?|蜀道

3435、作品祭十二郎文的作者是：|韩愈

3436、诗句下马饮君酒，问君何所之。的作者是：|王维

3437、颜真卿为琅琊氏后裔，家学渊博，他的六世祖_是北齐著名学者，著有颜氏家训。|颜之推

3438、三国中，关羽过五关斩六将中，斩杀孔秀是在哪一关?|东岭关

3439、游戏中的纹饰均得名于我国古代的真实纹饰。青铜器上的各种纹饰，属于中国绘画一个独特的类型。以下哪种不是青铜器上常见的纹饰?|天鹿纹

3440、北方有佳人，绝世而独立，一顾倾人城，再顾倾人国。宁不知倾城与倾国，佳人难再得。一诗描述的是哪位女子?|李夫人

3441、我国的云南省简称：|滇

3442、秦王朝的最后一位皇帝子婴向刘邦投降的地点在：|咸阳

3443、根据日平均气温等，我国可划出几个温度带?|五个

3444、中国著名的城市大理，有着风花雪月的四绝景色，请问风花雪月分别指的是：|下关风，上关花，苍山雪，洱海月

3445、徽州素来以其传统建筑中的三绝而闻名于中国。哪三绝?|古牌坊，古民居，古祠堂

3446、谥号只有在死亡后才会给予，但也有例外的情况，以下哪个谥号是在死前给予的：|楚成王

3447、下列属于冬季的节气是：|冬至

3448、下列不属于杭州的西湖景色的是：|十里珠帘

3449、唐太宗言：以天下之广，四海之众，千端万绪，须合变通，皆委百司商量，宰相筹画，于事稳便，方可奏行。这话表明他主张：|发挥宰相等大臣的议政权

3450、在明朝著名的宁远之战中，明朝的主要将领是：|袁崇焕

3451、明永乐三年至宣德八年，郑和七下西洋，最远到达非洲东海岸，同南洋印度洋的30多个国家和地区进行交流，其中所携带的物品深受当地欢迎的是：|瓷器

3452、西游中，有许多下凡作恶的妖怪，后被天上神仙收为坐骑。请问下列哪个妖怪不属此列?|狮驼国的大鹏

3453、朱元璋出身贫寒，妻子马氏亦只是普通人家，但他称帝之后，二人仍伉俪情深。请问他们死后合葬在何处陵墓?|孝陵

3454、中国古典菜中，羊方藏鱼被称为中国第一名菜，至今已有4300年历史，一般传说这道菜的发明者是_和他的后代。|彭祖

3455、游戏中，弓箭并非只有射手才能装备，大部分技能都可以在装备弓箭的情况下释放，以下哪个技能符合此条件?|呵壁问天

3456、三家分晋中的三家，不包括下面哪一个国家：|齐

3457、在游戏中，有些技能是可以增加角色的能力的，下列技能中哪个不是这种类型的技能：|吐纳诀

3458、东周的第一位国君是：|周平王

3459、中国的科学著作梦溪笔谈写于下列哪一时期：|北宋

3460、应知故乡事的上半句是：|君自故乡来

3461、君山茶一般可分为分为尖茶与_两种：|茸茶

3462、请问下面4个城市中哪个是杭州的旧称?|广陵 西都

3463、段师弟子数十人，李家管儿称第一的诗句作者是：|元稹

3464、汉口夕阳斜渡鸟的下半句是：|洞庭秋水远连天

3465、在我国最重要的节日春节中，南方北方都有许多地方有吃年糕的传统习惯。某个少数民族称年糕为飞石黑阿峰，请问这个民族是?|满族

